epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.763,1.51164,1.68248,1.26136,0.95267,0.85772,0.93169,0.52402,1.53262,1.26637,1.34557,0.000662768,0.000662768,0.000662768
2,310.869,1.51712,1.12175,1.25068,0.8134,0.80493,0.85046,0.42686,1.62373,1.2347,1.37031,0.00130311,0.00130311,0.00130311
3,465.909,1.55047,1.04914,1.31071,0.92151,0.90057,0.93809,0.52524,1.49713,0.87687,1.32968,0.00191706,0.00191706,0.00191706
4,619.365,1.4943,0.94971,1.26102,0.96457,0.89489,0.96088,0.54135,1.48236,0.78279,1.33891,0.0018812,0.0018812,0.0018812
5,769.964,1.49912,0.91651,1.27867,0.95499,0.90418,0.95108,0.52327,1.48633,0.84236,1.32672,0.0018416,0.0018416,0.0018416
6,918.856,1.52345,0.90135,1.28194,0.93423,0.88773,0.93665,0.48701,1.60198,0.84009,1.38408,0.001802,0.001802,0.001802
7,1068.39,1.47701,0.85549,1.24638,0.91322,0.9375,0.95558,0.5074,1.54904,0.89899,1.36577,0.0017624,0.0017624,0.0017624
8,1215.58,1.45617,0.84021,1.2337,0.95296,0.91477,0.97019,0.56758,1.45002,0.75692,1.27631,0.0017228,0.0017228,0.0017228
9,1530.31,1.46683,0.79795,1.25028,0.96371,0.90537,0.96397,0.54179,1.4895,0.72296,1.31872,0.0016832,0.0016832,0.0016832
10,1679.47,1.43321,0.79927,1.22773,0.94154,0.91761,0.96542,0.53419,1.53461,0.70364,1.29001,0.0016436,0.0016436,0.0016436
11,1827.66,1.41899,0.77798,1.22587,0.94478,0.91761,0.95923,0.55749,1.44041,0.66728,1.27315,0.001604,0.001604,0.001604
12,1975.41,1.39136,0.72257,1.22409,0.96693,0.93466,0.97218,0.58139,1.43097,0.64172,1.28561,0.0015644,0.0015644,0.0015644
13,2312.5,1.40962,0.72409,1.21242,0.97042,0.95739,0.97988,0.57372,1.44302,0.60644,1.26402,0.0015248,0.0015248,0.0015248
14,2458.99,1.3459,0.699,1.18247,0.96567,0.95896,0.97941,0.57526,1.45203,0.60303,1.26515,0.0014852,0.0014852,0.0014852
15,2608.96,1.40554,0.69837,1.20477,0.95157,0.94903,0.97181,0.55766,1.43905,0.62712,1.28185,0.0014456,0.0014456,0.0014456
16,2757.66,1.36625,0.70044,1.20046,0.96553,0.96307,0.97748,0.57029,1.41878,0.60646,1.26486,0.001406,0.001406,0.001406
17,3680.21,1.3839,0.69363,1.19957,0.97078,0.94376,0.97851,0.58298,1.39979,0.58776,1.24868,0.0013664,0.0013664,0.0013664
18,3826.81,1.35699,0.67331,1.18836,0.96745,0.92867,0.97168,0.56969,1.43689,0.60806,1.28272,0.0013268,0.0013268,0.0013268
19,3974.32,1.36198,0.67036,1.18472,0.98568,0.9517,0.98174,0.58435,1.40217,0.56484,1.24554,0.0012872,0.0012872,0.0012872
20,4126.54,1.34601,0.66699,1.17577,0.97107,0.95455,0.96372,0.55289,1.43977,0.58968,1.27145,0.0012476,0.0012476,0.0012476
21,4275.87,1.32599,0.64031,1.16833,0.96529,0.94812,0.97026,0.57455,1.43089,0.56173,1.25727,0.001208,0.001208,0.001208
22,4425.55,1.32161,0.63293,1.17375,0.95327,0.95739,0.97708,0.59217,1.41177,0.57954,1.26003,0.0011684,0.0011684,0.0011684
23,4594.18,1.33475,0.6377,1.17605,0.94084,0.94879,0.96566,0.55061,1.42819,0.59356,1.28014,0.0011288,0.0011288,0.0011288
24,4768.39,1.3272,0.64257,1.16674,0.95467,0.95729,0.97318,0.57695,1.40007,0.5618,1.25485,0.0010892,0.0010892,0.0010892
25,4923.31,1.30165,0.62084,1.16833,0.97324,0.96023,0.97879,0.59082,1.39112,0.55899,1.24044,0.0010496,0.0010496,0.0010496
26,5077.61,1.32163,0.6226,1.1616,0.96827,0.95377,0.98019,0.5901,1.42724,0.55476,1.24835,0.00101,0.00101,0.00101
27,5229.93,1.31248,0.62984,1.16759,0.97664,0.96307,0.98104,0.58895,1.41636,0.54195,1.24046,0.0009704,0.0009704,0.0009704
28,5379.27,1.3081,0.61384,1.15288,0.95197,0.9517,0.96991,0.56687,1.44324,0.57391,1.26715,0.0009308,0.0009308,0.0009308
29,5530.68,1.31095,0.6166,1.15639,0.97685,0.95455,0.9762,0.59615,1.41626,0.53805,1.25115,0.0008912,0.0008912,0.0008912
30,5760.41,1.29122,0.59723,1.14774,0.97967,0.95836,0.98112,0.59385,1.38691,0.53466,1.22226,0.0008516,0.0008516,0.0008516
31,5907.08,1.26839,0.58373,1.14584,0.97849,0.94886,0.97735,0.59041,1.40708,0.54205,1.24801,0.000812,0.000812,0.000812
32,6055.31,1.27536,0.58729,1.14837,0.97569,0.96023,0.98007,0.60195,1.37197,0.52683,1.23483,0.0007724,0.0007724,0.0007724
33,6206.15,1.26898,0.58169,1.13026,0.97317,0.97159,0.98156,0.60591,1.38141,0.51859,1.23729,0.0007328,0.0007328,0.0007328
34,6352.93,1.26653,0.56912,1.13643,0.97401,0.95824,0.97606,0.57681,1.4258,0.53707,1.26107,0.0006932,0.0006932,0.0006932
35,6504.13,1.25951,0.56476,1.13902,0.97979,0.96387,0.98384,0.59169,1.38376,0.51895,1.24036,0.0006536,0.0006536,0.0006536
36,6654.55,1.24756,0.56454,1.12933,0.97977,0.97159,0.98698,0.60357,1.38535,0.5069,1.2339,0.000614,0.000614,0.000614
